date,price,volume,bid,ask,mid,imbalance,spread_chf,spread_pct,weighted_mid,micro_price,g_adj,mm_bid,mm_ask
20.11.2025,8660,52,8642.68,8677.32,8660.0,0.5,34.64,0.4,8660.0,8660.0,0.0,8634.02,8685.98
21.11.2025,8820,53,8802.36,8837.64,8820.0,0.5,35.28,0.4,8820.0,8820.0,0.0,8793.54,8846.46
24.11.2025,8800,15,8782.4,8817.6,8800.0,0.5,35.2,0.4,8800.0,8800.0,0.0,8773.6,8826.4
25.11.2025,8800,34,8782.4,8817.6,8800.0,0.8,35.2,0.4,8810.56,8810.56,10.56,8784.16,8836.96
26.11.2025,8800,27,8782.4,8817.6,8800.0,0.4333,35.2,0.4,8797.65,8797.65,-2.35,8771.25,8824.05
27.11.2025,8800,68,8782.4,8817.6,8800.0,0.5,35.2,0.4,8800.0,8800.0,0.0,8773.6,8826.4
28.11.2025,8860,66,8842.28,8877.72,8860.0,0.7045,35.44,0.4,8867.25,8867.25,7.25,8840.67,8893.83
01.12.2025,8880,49,8862.24,8897.76,8880.0,0.7735,35.52,0.4,8889.71,8889.71,9.71,8863.07,8916.35
02.12.2025,8860,70,8842.28,8877.72,8860.0,0.7043,35.44,0.4,8867.24,8867.24,7.24,8840.66,8893.82
03.12.2025,8800,42,8782.4,8817.6,8800.0,0.2976,35.2,0.4,8792.88,8792.88,-7.12,8766.48,8819.28
04.12.2025,8780,36,8762.44,8797.56,8780.0,0.2,35.12,0.4,8769.46,8769.46,-10.54,8743.12,8795.8
05.12.2025,8740,30,8722.52,8757.48,8740.0,0.2,34.96,0.4,8729.51,8729.51,-10.49,8703.29,8755.73
08.12.2025,8800,77,8782.4,8817.6,8800.0,0.5,35.2,0.4,8800.0,8800.0,0.0,8773.6,8826.4
09.12.2025,8800,46,8782.4,8817.6,8800.0,0.5674,35.2,0.4,8802.37,8802.37,2.37,8775.97,8828.77
10.12.2025,8740,49,8722.52,8757.48,8740.0,0.5,34.96,0.4,8740.0,8740.0,0.0,8713.78,8766.22
11.12.2025,8800,55,8782.4,8817.6,8800.0,0.5,35.2,0.4,8800.0,8800.0,0.0,8773.6,8826.4
12.12.2025,8800,15,8782.4,8817.6,8800.0,0.5,35.2,0.4,8800.0,8800.0,0.0,8773.6,8826.4
15.12.2025,8780,74,8762.44,8797.56,8780.0,0.6378,35.12,0.4,8784.84,8784.84,4.84,8758.5,8811.18
16.12.2025,8820,109,8802.36,8837.64,8820.0,0.5679,35.28,0.4,8822.4,8822.4,2.4,8795.94,8848.86
17.12.2025,8800,42,8782.4,8817.6,8800.0,0.5,35.2,0.4,8800.0,8800.0,0.0,8773.6,8826.4
18.12.2025,8900,66,8882.2,8917.8,8900.0,0.8,35.6,0.4,8910.68,8910.68,10.68,8883.98,8937.38
19.12.2025,8820,75,8802.36,8837.64,8820.0,0.5,35.28,0.4,8820.0,8820.0,0.0,8793.54,8846.46
22.12.2025,8860,59,8842.28,8877.72,8860.0,0.7051,35.44,0.4,8867.27,8867.27,7.27,8840.69,8893.85
23.12.2025,8860,53,8842.28,8877.72,8860.0,0.366,35.44,0.4,8855.25,8855.25,-4.75,8828.67,8881.83
29.12.2025,8900,33,8882.2,8917.8,8900.0,0.7727,35.6,0.4,8909.71,8909.71,9.71,8883.01,8936.41
30.12.2025,8840,29,8822.32,8857.68,8840.0,0.431,35.36,0.4,8837.56,8837.56,-2.44,8811.04,8864.08
05.01.2026,8940,97,8922.12,8957.88,8940.0,0.7711,35.76,0.4,8949.7,8949.7,9.7,8922.88,8976.52
06.01.2026,8940,25,8922.12,8957.88,8940.0,0.636,35.76,0.4,8944.86,8944.86,4.86,8918.04,8971.68
07.01.2026,8940,55,8922.12,8957.88,8940.0,0.8,35.76,0.4,8950.73,8950.73,10.73,8923.91,8977.55
08.01.2026,9000,77,8982.0,9018.0,9000.0,0.7013,36.0,0.4,9007.25,9007.25,7.25,8980.25,9034.25
09.01.2026,9040,65,9021.92,9058.08,9040.0,0.8,36.16,0.4,9050.85,9050.85,10.85,9023.73,9077.97
12.01.2026,9040,64,9021.92,9058.08,9040.0,0.8,36.16,0.4,9050.85,9050.85,10.85,9023.73,9077.97
13.01.2026,9060,73,9041.88,9078.12,9060.0,0.7,36.24,0.4,9067.25,9067.25,7.25,9040.07,9094.43
14.01.2026,9100,49,9081.8,9118.2,9100.0,0.7,36.4,0.4,9107.28,9107.28,7.28,9079.98,9134.58
15.01.2026,9200,49,9181.6,9218.4,9200.0,0.8,36.8,0.4,9211.04,9211.04,11.04,9183.44,9238.64
16.01.2026,9300,58,9281.4,9318.6,9300.0,0.8,37.2,0.4,9311.16,9311.16,11.16,9283.26,9339.06
19.01.2026,9220,59,9201.56,9238.44,9220.0,0.8,36.88,0.4,9231.06,9231.06,11.06,9203.4,9258.72
20.01.2026,9220,38,9201.56,9238.44,9220.0,0.5658,36.88,0.4,9222.43,9222.43,2.43,9194.77,9250.09
21.01.2026,9260,70,9241.48,9278.52,9260.0,0.3714,37.04,0.4,9255.24,9255.24,-4.76,9227.46,9283.02
22.01.2026,9300,61,9281.4,9318.6,9300.0,0.7607,37.2,0.4,9309.7,9309.7,9.7,9281.8,9337.6
23.01.2026,9300,89,9281.4,9318.6,9300.0,0.7607,37.2,0.4,9309.7,9309.7,9.7,9281.8,9337.6
26.01.2026,9340,47,9321.32,9358.68,9340.0,0.7596,37.36,0.4,9349.7,9349.7,9.7,9321.68,9377.72
27.01.2026,9400,44,9381.2,9418.8,9400.0,0.8,37.6,0.4,9411.28,9411.28,11.28,9383.08,9439.48
28.01.2026,9360,29,9341.28,9378.72,9360.0,0.6931,37.44,0.4,9367.23,9367.23,7.23,9339.15,9395.31
29.01.2026,9320,32,9301.36,9338.64,9320.0,0.4344,37.28,0.4,9317.55,9317.55,-2.45,9289.59,9345.51
30.01.2026,9400,58,9381.2,9418.8,9400.0,0.5,37.6,0.4,9400.0,9400.0,0.0,9371.8,9428.2
02.02.2026,9500,51,9481.0,9519.0,9500.0,0.8,38.0,0.4,9511.4,9511.4,11.4,9482.9,9539.9
03.02.2026,9580,82,9560.84,9599.16,9580.0,0.8,38.32,0.4,9591.5,9591.5,11.5,9562.76,9620.24
04.02.2026,9660,42,9640.68,9679.32,9660.0,0.8,38.64,0.4,9671.59,9671.59,11.59,9642.61,9700.57
05.02.2026,9680,27,9660.64,9699.36,9680.0,0.8,38.72,0.4,9691.62,9691.62,11.62,9662.58,9720.66
06.02.2026,9600,56,9580.8,9619.2,9600.0,0.5625,38.4,0.4,9602.4,9602.4,2.4,9573.6,9631.2
09.02.2026,9720,50,9700.56,9739.44,9720.0,0.686,38.88,0.4,9727.23,9727.23,7.23,9698.07,9756.39
10.02.2026,9720,36,9700.56,9739.44,9720.0,0.625,38.88,0.4,9724.86,9724.86,4.86,9695.7,9754.02
11.02.2026,9780,36,9760.44,9799.56,9780.0,0.8,39.12,0.4,9791.74,9791.74,11.74,9762.4,9821.08
12.02.2026,9800,52,9780.4,9819.6,9800.0,0.7462,39.2,0.4,9809.65,9809.65,9.65,9780.25,9839.05
13.02.2026,9860,92,9840.28,9879.72,9860.0,0.8,39.44,0.4,9871.83,9871.83,11.83,9842.25,9901.41
16.02.2026,9820,27,9800.36,9839.64,9820.0,0.6222,39.28,0.4,9824.8,9824.8,4.8,9795.34,9854.26
17.02.2026,9820,80,9800.36,9839.64,9820.0,0.5612,39.28,0.4,9822.41,9822.41,2.41,9792.95,9851.87
18.02.2026,9800,17,9780.4,9819.6,9800.0,0.3176,39.2,0.4,9792.85,9792.85,-7.15,9763.45,9822.25
19.02.2026,9900,55,9880.2,9919.8,9900.0,0.7436,39.6,0.4,9909.65,9909.65,9.65,9879.95,9939.35
20.02.2026,9940,81,9920.12,9959.88,9940.0,0.8,39.76,0.4,9951.93,9951.93,11.93,9922.11,9981.75
23.02.2026,9840,37,9820.32,9859.68,9840.0,0.6216,39.36,0.4,9844.79,9844.79,4.79,9815.27,9874.31
24.02.2026,9880,103,9860.24,9899.76,9880.0,0.4398,39.52,0.4,9877.62,9877.62,-2.38,9847.98,9907.26
25.02.2026,9820,68,9800.36,9839.64,9820.0,0.2,39.28,0.4,9808.22,9808.22,-11.78,9778.76,9837.68
26.02.2026,9840,42,9820.32,9859.68,9840.0,0.5,39.36,0.4,9840.0,9840.0,0.0,9810.48,9869.52
27.02.2026,9860,43,9840.28,9879.72,9860.0,0.4395,39.44,0.4,9857.62,9857.62,-2.38,9828.04,9887.2
02.03.2026,9860,85,9840.28,9879.72,9860.0,0.6224,39.44,0.4,9864.83,9864.83,4.83,9835.25,9894.41
03.03.2026,9840,35,9820.32,9859.68,9840.0,0.5,39.36,0.4,9840.0,9840.0,0.0,9810.48,9869.52
04.03.2026,9940,73,9920.12,9959.88,9940.0,0.7438,39.76,0.4,9949.69,9949.69,9.69,9919.87,9979.51
05.03.2026,9880,16,9860.24,9899.76,9880.0,0.5625,39.52,0.4,9882.47,9882.47,2.47,9852.83,9912.11
06.03.2026,9940,70,9920.12,9959.88,9940.0,0.8,39.76,0.4,9951.93,9951.93,11.93,9922.11,9981.75
09.03.2026,9880,88,9860.24,9899.76,9880.0,0.3193,39.52,0.4,9872.86,9872.86,-7.14,9843.22,9902.5
10.03.2026,9880,31,9860.24,9899.76,9880.0,0.5,39.52,0.4,9880.0,9880.0,0.0,9850.36,9909.64
11.03.2026,9980,78,9960.04,9999.96,9980.0,0.6205,39.92,0.4,9984.81,9984.81,4.81,9954.87,10014.75
12.03.2026,10050,121,10029.9,10070.1,10050.0,0.8,40.2,0.4,10062.06,10062.06,12.06,10031.91,10092.21
13.03.2026,9980,32,9960.04,9999.96,9980.0,0.8,39.92,0.4,9991.98,9991.98,11.98,9962.04,10021.92
16.03.2026,10150,35,10129.7,10170.3,10150.0,0.8,40.6,0.4,10162.18,10162.18,12.18,10131.73,10192.63
17.03.2026,10450,140,10429.1,10470.9,10450.0,0.8,41.8,0.4,10462.54,10462.54,12.54,10431.19,10493.89
18.03.2026,10500,163,10479.0,10521.0,10500.0,0.8,42.0,0.4,10512.6,10512.6,12.6,10481.1,10544.1
19.03.2026,10350,99,10329.3,10370.7,10350.0,0.8,41.4,0.4,10362.42,10362.42,12.42,10331.37,10393.47
20.03.2026,10450,39,10429.1,10470.9,10450.0,0.5,41.8,0.4,10450.0,10450.0,0.0,10418.65,10481.35
23.03.2026,10450,69,10429.1,10470.9,10450.0,0.3565,41.8,0.4,10444.0,10444.0,-6.0,10412.65,10475.35
24.03.2026,10450,36,10429.1,10470.9,10450.0,0.7889,41.8,0.4,10462.08,10462.08,12.08,10430.73,10493.43
25.03.2026,10450,26,10429.1,10470.9,10450.0,0.5,41.8,0.4,10450.0,10450.0,0.0,10418.65,10481.35
26.03.2026,10450,29,10429.1,10470.9,10450.0,0.5,41.8,0.4,10450.0,10450.0,0.0,10418.65,10481.35
27.03.2026,10250,28,10229.5,10270.5,10250.0,0.2,41.0,0.4,10237.7,10237.7,-12.3,10206.95,10268.45
30.03.2026,10350,51,10329.3,10370.7,10350.0,0.2137,41.4,0.4,10338.15,10338.15,-11.85,10307.1,10369.2
31.03.2026,10250,74,10229.5,10270.5,10250.0,0.2,41.0,0.4,10237.7,10237.7,-12.3,10206.95,10268.45
01.04.2026,10200,109,10179.6,10220.4,10200.0,0.3532,40.8,0.4,10194.01,10194.01,-5.99,10163.41,10224.61
02.04.2026,10250,78,10229.5,10270.5,10250.0,0.2103,41.0,0.4,10238.12,10238.12,-11.88,10207.37,10268.87
07.04.2026,10300,92,10279.4,10320.6,10300.0,0.6467,41.2,0.4,10306.05,10306.05,6.05,10275.15,10336.95
08.04.2026,10500,64,10479.0,10521.0,10500.0,0.8,42.0,0.4,10512.6,10512.6,12.6,10481.1,10544.1
09.04.2026,10650,52,10628.7,10671.3,10650.0,0.8,42.6,0.4,10662.78,10662.78,12.78,10630.83,10694.73
10.04.2026,10650,64,10628.7,10671.3,10650.0,0.8,42.6,0.4,10662.78,10662.78,12.78,10630.83,10694.73
13.04.2026,10900,97,10878.2,10921.8,10900.0,0.8,43.6,0.4,10913.08,10913.08,13.08,10880.38,10945.78
14.04.2026,10800,122,10778.4,10821.6,10800.0,0.8,43.2,0.4,10812.96,10812.96,12.96,10780.56,10845.36
15.04.2026,10850,66,10828.3,10871.7,10850.0,0.8,43.4,0.4,10863.02,10863.02,13.02,10830.47,10895.57
16.04.2026,10900,67,10878.2,10921.8,10900.0,0.5,43.6,0.4,10900.0,10900.0,0.0,10867.3,10932.7
17.04.2026,10950,69,10928.1,10971.9,10950.0,0.8,43.8,0.4,10963.14,10963.14,13.14,10930.29,10995.99
20.04.2026,11050,108,11027.9,11072.1,11050.0,0.8,44.2,0.4,11063.26,11063.26,13.26,11030.11,11096.41
21.04.2026,11250,91,11227.5,11272.5,11250.0,0.8,45.0,0.4,11263.5,11263.5,13.5,11229.75,11297.25
22.04.2026,11350,144,11327.3,11372.7,11350.0,0.8,45.4,0.4,11363.62,11363.62,13.62,11329.57,11397.67
23.04.2026,11450,123,11427.1,11472.9,11450.0,0.8,45.8,0.4,11463.74,11463.74,13.74,11429.39,11498.09
24.04.2026,11550,67,11526.9,11573.1,11550.0,0.8,46.2,0.4,11563.86,11563.86,13.86,11529.21,11598.51
27.04.2026,11600,118,11576.8,11623.2,11600.0,0.8,46.4,0.4,11613.92,11613.92,13.92,11579.12,11648.72
28.04.2026,11650,52,11626.7,11673.3,11650.0,0.8,46.6,0.4,11663.98,11663.98,13.98,11629.03,11698.93
29.04.2026,11450,48,11427.1,11472.9,11450.0,0.2396,45.8,0.4,11438.07,11438.07,-11.93,11403.72,11472.42
30.04.2026,11600,92,11576.8,11623.2,11600.0,0.5,46.4,0.4,11600.0,11600.0,0.0,11565.2,11634.8
